[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/db/migrations/migration.py first seen with mtime 1604303043.6533039
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1604303043.6731806
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/views/generic/detail.py first seen with mtime 1604303043.7731748
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1604303042.312568
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/platform.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/futures.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/calendar.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/email/mime/text.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/template/context.py first seen with mtime 1604303043.7201493
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/forms/boundfield.py first seen with mtime 1604303043.6834333
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/admin/apps.py first seen with mtime 1604303041.73214
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/wsgiref/headers.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/utils/dateformat.py first seen with mtime 1604303043.746253
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/json/decoder.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /usr/local/Cellar/python@3.9/3.9.0_1/Frameworks/Python.framework/Versions/3.9/lib/python3.9/asyncio/protocols.py first seen with mtime 1601911788.0
[02/Nov/2020 16:59:13] DEBUG [django.utils.autoreload:364] File /Users/angryong/take2/venv/lib/python3.9/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1604303043.566456
